Date,Open,High,Low,Close,Adj Close,Volume
2011-11-09,73.122223,74.022224,69.822220,70.166664,37.294693,4010175
2011-11-11,69.966667,70.666664,68.000000,69.266663,36.816322,4452102
2011-11-14,69.333336,70.211113,67.388885,68.222221,36.261189,3572905
2011-11-15,68.222221,68.222221,66.444443,67.044441,35.635178,3057970
2011-11-16,65.577774,65.766663,60.888889,63.599998,33.804401,10573722
2011-11-17,63.333332,64.000000,61.111111,62.244446,33.083912,4263304
2011-11-18,62.222221,66.644447,62.222221,66.199997,35.186352,4361782
2011-11-21,66.444443,66.800003,64.111115,64.555557,34.312305,2027362
2011-11-22,62.666664,66.344444,62.666664,65.944443,35.050514,1779021
2011-11-23,65.388885,65.777779,63.622223,64.266663,34.158752,1509588
2011-11-24,64.644447,65.022224,61.688889,62.255554,33.089817,6397857
2011-11-25,62.222221,63.333332,60.988888,62.466667,33.202030,4785219
2011-11-28,62.344444,64.344444,61.988888,64.122223,34.081974,2199879
2011-11-29,63.333332,63.766666,61.166664,61.444443,32.658699,2964006
2011-11-30,61.111111,61.933334,60.444443,61.444443,32.658699,3682818
2011-12-01,62.022221,62.622223,60.722221,61.511112,32.694130,4610938
2011-12-02,61.211109,65.688889,60.922222,64.844444,34.465855,5449104
2011-12-05,63.355556,64.577774,62.988888,63.799999,33.910713,2189619
2011-12-07,64.000000,66.000000,63.388889,65.022224,34.560337,3670096
2011-12-08,63.488888,65.099998,63.488888,64.044441,34.040627,1331869
2011-12-09,64.366669,65.777779,63.555553,65.477776,34.802467,2554249
2011-12-12,65.755554,65.755554,63.144444,63.466667,33.733547,722637
2011-12-13,62.511112,64.877777,62.344444,64.411110,34.235523,1545799
2011-12-14,64.188889,64.699997,61.022221,61.677776,32.782715,3523972
2011-12-15,61.777779,63.555553,61.711109,62.944443,33.455967,2493184
2011-12-16,63.288887,63.944443,57.355556,58.566666,31.129112,7384977
2011-12-19,58.844444,59.711109,57.555553,58.344444,31.011003,1602463
2011-12-20,58.344444,59.288887,55.566666,56.011112,29.770790,2155153
2011-12-21,56.444443,59.544445,55.355556,58.911110,31.312189,2206750
2011-12-22,57.322224,59.988888,57.322224,59.611111,31.684252,1452631
2011-12-23,59.566666,59.888889,57.811111,58.444443,31.064146,638361
2011-12-26,58.444443,59.111111,57.611111,57.866665,30.757044,1023723
2011-12-27,58.044445,58.888889,57.388889,57.933334,30.792482,1088973
2011-12-28,57.388889,57.788887,55.844444,56.466667,30.012934,818685
2011-12-29,56.866665,57.500000,54.555553,54.988888,29.227465,2446731
2011-12-30,55.566666,57.066666,54.488888,56.211109,29.877094,2524378
2012-01-02,56.244446,57.455555,55.677776,56.177776,29.859377,1829749
2012-01-03,55.555553,56.533333,55.000000,56.155556,29.847569,1996263
2012-01-04,55.044445,56.122223,54.355556,54.799999,29.127068,2301480
2012-01-05,54.444443,54.866665,53.000000,53.255554,28.306177,3211501
2012-01-06,53.111111,54.400002,52.966667,53.677776,28.530590,4011970
2012-01-07,null,null,null,null,null,null
2012-01-09,53.777779,54.122223,53.122223,53.633331,28.506969,1203021
2012-01-10,54.222221,54.755554,54.111111,54.577778,29.008955,1057234
2012-01-11,54.488888,56.799999,54.488888,56.211109,29.877094,2615485
